Date,Price
29-04-1994,376.45
31-05-1994,387.6
30-06-1994,388.25
29-07-1994,384
31-08-1994,385.75
30-09-1994,394.85
31-10-1994,383.85
30-11-1994,383.1
30-12-1994,383.25
31-01-1995,374.9
28-02-1995,376.4
31-03-1995,392
28-04-1995,389.75
31-05-1995,384.3
30-06-1995,387.05
31-07-1995,383.35
31-08-1995,382.35
29-09-1995,384
31-10-1995,382.65
30-11-1995,387.8
29-12-1995,387
31-01-1996,405.55
29-02-1996,400.65
29-03-1996,396.35
30-04-1996,391.3
31-05-1996,390.55
28-06-1996,382
31-07-1996,385.3
30-08-1996,386.45
30-09-1996,379
31-10-1996,379.5
29-11-1996,371.3
31-12-1996,369.25
31-01-1997,345.5
28-02-1997,358.6
31-03-1997,348.15
30-04-1997,340.15
30-05-1997,345.6
30-06-1997,334.55
31-07-1997,326.35
29-08-1997,325.35
30-09-1997,332.1
31-10-1997,311.4
28-11-1997,296.8
31-12-1997,290.2
30-01-1998,304.85
27-02-1998,297.4
31-03-1998,301
30-04-1998,310.7
29-05-1998,293.6
30-06-1998,296.3
31-07-1998,288.85
31-08-1998,273.4
30-09-1998,293.85
30-10-1998,292.3
30-11-1998,294.7
31-12-1998,287.8
29-01-1999,285.4
26-02-1999,287.05
31-03-1999,279.45
30-04-1999,286.6
31-05-1999,268.6
30-06-1999,261
30-07-1999,255.6
31-08-1999,254.8
30-09-1999,299
29-10-1999,299.1
30-11-1999,291.35
31-12-1999,290.25
31-01-2000,283.3
29-02-2000,293.65
31-03-2000,276.75
28-04-2000,275.05
31-05-2000,272.25
30-06-2000,288.15
31-07-2000,276.75
31-08-2000,277
29-09-2000,273.65
31-10-2000,264.5
30-11-2000,269.1
29-12-2000,274.45
31-01-2001,264.5
28-02-2001,266.7
30-03-2001,257.7
30-04-2001,263.15
31-05-2001,267.5
29-06-2001,270.6
31-07-2001,265.9
31-08-2001,273
28-09-2001,293.1
31-10-2001,278.75
30-11-2001,275.5
31-12-2001,276.5
31-01-2002,282.3
28-02-2002,296.85
29-03-2002,301.4
30-04-2002,308.2
31-05-2002,326.6
28-06-2002,318.5
31-07-2002,304.65
30-08-2002,312.8
30-09-2002,323.7
31-10-2002,316.9
29-11-2002,319.05
31-12-2002,347.2
31-01-2003,367.5
28-02-2003,347.45
31-03-2003,334.85
30-04-2003,336.75
30-05-2003,361.4
30-06-2003,346
31-07-2003,354.75
29-08-2003,375.6
30-09-2003,388
31-10-2003,386.25
28-11-2003,398.35
31-12-2003,416.25
30-01-2004,399.75
27-02-2004,395.85
31-03-2004,423.7
30-04-2004,388.5
31-05-2004,393.25
30-06-2004,395.8
30-07-2004,391.4
31-08-2004,407.25
30-09-2004,415.65
29-10-2004,425.55
30-11-2004,453.4
31-12-2004,435.6
31-01-2005,422.15
28-02-2005,435.45
31-03-2005,427.5
29-04-2005,435.7
31-05-2005,414.45
30-06-2005,437.1
29-07-2005,429
31-08-2005,433.25
30-09-2005,473.25
31-10-2005,470.75
30-11-2005,495.65
30-12-2005,513
31-01-2006,568.75
28-02-2006,556
31-03-2006,582
28-04-2006,644
31-05-2006,653
30-06-2006,613.5
31-07-2006,632.5
31-08-2006,623.5
29-09-2006,599.25
31-10-2006,603.75
30-11-2006,646.7
29-12-2006,632
31-01-2007,650.5
28-02-2007,664.2
30-03-2007,661.75
30-04-2007,677
31-05-2007,659.1
29-06-2007,650.5
31-07-2007,665.5
31-08-2007,672
28-09-2007,743
31-10-2007,789.5
30-11-2007,783.5
31-12-2007,833.75
31-01-2008,923.25
29-02-2008,971.5
31-03-2008,933.5
30-04-2008,871
30-05-2008,885.75
30-06-2008,930.25
31-07-2008,918
29-08-2008,833
30-09-2008,884.5
31-10-2008,730.75
28-11-2008,814.5
31-12-2008,869.75
30-01-2009,919.5
27-02-2009,952
31-03-2009,916.5
30-04-2009,883.25
29-05-2009,975.5
30-06-2009,934.5
31-07-2009,939
31-08-2009,955.5
30-09-2009,995.75
30-10-2009,1040
30-11-2009,1175.75
31-12-2009,1087.5
29-01-2010,1078.5
26-02-2010,1108.25
31-03-2010,1115.5
30-04-2010,1179.25
31-05-2010,1207.5
30-06-2010,1244
30-07-2010,1169
31-08-2010,1246
30-09-2010,1307
29-10-2010,1346.75
30-11-2010,1383.5
31-12-2010,1405.5
31-01-2011,1327
28-02-2011,1411
31-03-2011,1439
29-04-2011,1535.5
31-05-2011,1536.5
30-06-2011,1505.5
29-07-2011,1628.5
31-08-2011,1813.5
30-09-2011,1620
31-10-2011,1722
30-11-2011,1746
30-12-2011,1531
31-01-2012,1744
29-02-2012,1770
30-03-2012,1662.5
30-04-2012,1651.25
31-05-2012,1558
29-06-2012,1598.5
31-07-2012,1622
31-08-2012,1648.5
28-09-2012,1776
31-10-2012,1719
30-11-2012,1726
31-12-2012,1657.5
31-01-2013,1664.75
28-02-2013,1588.5
29-03-2013,1598.25
30-04-2013,1469
31-05-2013,1394.5
28-06-2013,1192
31-07-2013,1314.5
30-08-2013,1394.75
30-09-2013,1326.5
31-10-2013,1324
29-11-2013,1253
31-12-2013,1204.5
31-01-2014,1251
28-02-2014,1326.5
31-03-2014,1291.75
30-04-2014,1288.5
30-05-2014,1250.5
30-06-2014,1315
31-07-2014,1285.25
29-08-2014,1285.75
30-09-2014,1216.5
31-10-2014,1164.25
28-11-2014,1182.75
31-12-2014,1206
30-01-2015,1260.25
27-02-2015,1214
31-03-2015,1187
30-04-2015,1180.25
29-05-2015,1191.4
30-06-2015,1171
31-07-2015,1098.4
31-08-2015,1135
30-09-2015,1114
30-10-2015,1142.35
30-11-2015,1061.9
31-12-2015,1060
29-01-2016,1111.8
29-02-2016,1234.9
31-03-2016,1237
29-04-2016,1285.65
31-05-2016,1212.1
30-06-2016,1320.75
29-07-2016,1342
31-08-2016,1309.25
30-09-2016,1322.5
31-10-2016,1272
30-11-2016,1178.1
30-12-2016,1145.9
31-01-2017,1212.8
28-02-2017,1255.6
31-03-2017,1244.85
28-04-2017,1266.45
31-05-2017,1266.2
30-06-2017,1242.25
31-07-2017,1267.55
31-08-2017,1311.75
29-09-2017,1283.1
31-10-2017,1270.15
30-11-2017,1280.2
29-12-2017,1291
31-01-2018,1345.05
28-02-2018,1317.85
30-03-2018,1323.85
30-04-2018,1313.2
31-05-2018,1305.35
29-06-2018,1250.45
31-07-2018,1220.95
31-08-2018,1202.45
28-09-2018,1187.25
31-10-2018,1214.95
30-11-2018,1217.55
31-12-2018,1279
31-01-2019,1323.25
28-02-2019,1319.15
29-03-2019,1295.4
30-04-2019,1282.3
31-05-2019,1295.55
28-06-2019,1409
31-07-2019,1427.55
30-08-2019,1528.4
30-09-2019,1485.3
31-10-2019,1510.95
29-11-2019,1460.15
31-12-2019,1514.75
31-01-2020,1584.2
28-02-2020,1609.85
31-03-2020,1608.95
30-04-2020,1702.75
29-05-2020,1728.7
30-06-2020,1768.1
